level,Q,A,A1,A2,A3
2,유스케이스의 구성 요소 간의 관계에 포함되지 않는 것은?,구체화,연관,확장,일반화
1,다음 중 UML 다이어그램이 아닌 것은?,E-R 다이어그램,패키지 다이어그램,상태 다이어그램,클래스 다이어그램
1,서로 다른 두 시스템이나 소프트웨어 등을 서로 이어주는 부분 또는 접속 장치는?,인터페이스,기능,성능,제약 조건
0,속성과 연관된 연산을 클래스 안에 묶어서 하나로 취급하는 것을 의미하는 객체지향 개념은?,캡슐화,상속,연관관계,추상화
2,독립된 모듈이자 재사용되는 모든 단위이며 인터페이스를 통해서만 접근할 수 있는 것은?,컴포넌트,모델,클래스,메서드
3,GoF 디자인 패턴 중에서 구조 패턴이 아닌 것은?,Builder 패턴,Adapter 패턴,Bridge 패턴,Proxy 패턴
2,UI의 한 종류로 멀티 터치 동작 인식 등 사용자의 자연스러운 움직임을 인식하는 UI는?,NUI,GUI,OUI,CLI
0,UI의 한 종류로 텍스트 형태의 인터페이스는?,CLI,GUI,OUI,NUI
0,UI의 한 종류로 그래픽 환경의 인터페이스는?,GUI,CLI,OUI,NUI
0,소프트웨어 개발 과정에서 변경사항을 관리하기 위해 개발된 일련의 활동은?,형상관리,복호화,저작권,크랙
1,소프트웨어를 쉽게 이해하고 적은 비용으로 수정하기 위해 동작의 변화 없이 내부 구조만을 변경하는 것은?,Refactoring,Architecting,Specification,Renewal
0,저급 언어의 프로그램을 고급 언어 프로그램으로 변환하는 기능은?,Compile,Coding,Debugging,Deployment
1,속성-값 쌍으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷은?,JSON,HTML,AVPN,DOF
1,데이터의 삽입 삭제가 한 쪽 끝에서만 일어나며 LIFO의 특징을 갖는 자료 구조는?,스택,큐,트리,그래프
1,데이터의 삽입 삭제가 양쪽 끝에서 일어나며 FIFO의 특징을 갖는 자료 구조는?,큐,스택,트리,그래프
3,단위 테스트 도구가 아닌 것은?,lgpUnit,CppUnit,JUnit,HttpUnit
2,트랜잭션의 모든 연산들이 완전하게 수행되거나 전혀 수행되지 않아야 한다는 성질은?,원자성,일관성,고립성,영속성
1,트랜잭션 실행 시 다른 트랜잭션의 간섭을 받지 않아야 한다는 성질은?,고립성,원자성,일관성,영속성
3,데이터베이스의 저장 레코드 양식을 설계할 때 고려 사항이 아닌 것은?,트랜잭션 모델링,데이터 타입,데이터 값의 분포,접근 빈도
2,SQL에서 REVOKE문과 같이 데이터의 사용 권한을 관리하는데 사용하는 언어는?,DCL,DDL,DML,DUL
3,트랜잭션의 마지막 연산이 실행된 직후로 연산의 처리는 끝났지만 최종 결과를 DB에 반영하지 않은 상태는?,Partially Committed,Active,Committed,Aborted
1,키 중에서 유일성과 최소성을 만족하는 속성 또는 속성들의 집합은?,Candidate Key,Atomic Key,Super Key,Test Key
0,데이터베이스 설계 단계가 아닌 것은?,실제적 설계,개념적 설계,논리적 설계,물리적 설계
2,각 릴레이션의 기본키를 구성하는 속성은 NULL 값이나 중복된 값을 가질 수 없다는 무결성 제약조건은?,개체 무결성,참조 무결성,도메인 무결성,키 무결성
0,속성들의 값은 정의 된 도메인에 속한 값이어야 한다는 무결성 제약조건은?,도메인 무결성,참조 무결성,키 무결성,NULL 무결성
1,관계 데이터 모델에서 릴레이션에 포함되어 있는 튜플의 수를?,Cardinality,Degree,Attribute,Cartesian Product
3,C언어의 문자열 처리 함수 중 문자열을 비교하는 함수는?,strcmp(),strcpy(),strcat(),strrev()
3,최소 작업 우선(SJF) 기법의 약점을 보완한 비선점 스케줄링 기법으로 대기시간과 서비스 시간을 이용하는 것은?,HRN 스케줄링,FIFO 스케줄링,RR 스케줄링,MQ 스케줄링
2,다음 중 가장 낮은 응집도는?,우연적 응집도,시간적 응집도,순차적 응집도,기능적 응집도
3,한 모듈이 다른 모듈의 내부 기능 및 내부 자료를 참조하는 경우의 결합도는?,내용 결합도,제어 결합도,공통 결합도,스탬프 결합도
0,다음 중 정보보안 3요소에 해당되지 않는 것은?,휘발성,무결성,기밀성,가용성
1,인가된 사용자는 가지고 있는 권한 범위 내에서 언제든 자원 접근이 가능하다는 뜻의 정보보안 요소는?,가용성,무결성,기밀성,안전성
3,어떤 외부 컴퓨터가 접속되면 접속 인가 여부를 점검하여 접속 허가/거부할 수 있는 접근제어 유틸리티는?,tcp wrapper,trace checker,token finder,change detector
3,다음 중 10cm 이내의 근접 거리에서 기가급 속도로 데이터 전송이 가능한 초고속 근접무선통신 기술은?,Zing,Marine Navi,BcN,C-V2X
0,악성코드의 유형 중 스스로 전파되거나 메일로 전파되어 스스로 증식하는 것은?,Worm,Adware,Rogue Ware,Reflection Attack
2,허용 범위 이상의 ICMP 패킷을 전송하여 대상 시스템의 네트워크를 마비시키는 것은?,Ping of Death,Session Hijecking,Piggyback Attack,XSS
